USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21876 13724 ?        Ss   20:55   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize=48
root           2  0.0  0.0      0     0 ?        S    20:55   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    20:55   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I    20:55   0:00 [kworker/u32:1-ext4-rsv-conversion]
root          13  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/R-mm_pe]
root          14  0.0  0.0      0     0 ?        I    20:55   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    20:55   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    20:55   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    20:55   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    20:55   0:03 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    20:55   0:00 [rcub/0]
root          20  0.0  0.0      0     0 ?        S    20:55   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/2]
root          24  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/2]
root          25  0.0  0.0      0     0 ?        S    20:55   0:00 [migration/2]
root          26  0.0  0.0      0     0 ?        S    20:55   0:00 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/4]
root          30  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/4]
root          31  0.0  0.0      0     0 ?        S    20:55   0:00 [migration/4]
root          32  0.0  0.0      0     0 ?        S    20:55   0:00 [ksoftirqd/4]
root          34  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/4:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/6]
root          36  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/6]
root          37  0.0  0.0      0     0 ?        S    20:55   0:00 [migration/6]
root          38  0.0  0.0      0     0 ?        S    20:55   0:00 [ksoftirqd/6]
root          40  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/6:0H-events_highpri]
root          41  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/8]
root          42  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/8]
root          43  0.0  0.0      0     0 ?        S    20:55   0:00 [migration/8]
root          44  0.0  0.0      0     0 ?        S    20:55   0:00 [ksoftirqd/8]
root          46  0.0  0.0      0     0 ?        I<   20:55   0:00 [kworker/8:0H-events_highpri]
root          47  0.0  0.0      0     0 ?        S    20:55   0:00 [cpuhp/10]
root          48  0.0  0.0      0     0 ?        S    20:55   0:00 [idle_inject/10]
